Dosya,MSE_Noisy,MSE_Filtered,SNR_Noisy_dB,SNR_Filtered_dB,SNR_Improvement_dB
17.wav,0.20225893,0.02558438982065937,-10.689219,-1.7098924880353676,8.979326986757112
170.wav,0.16700794,0.020378127108850456,-10.151537,-1.0158079624403618,9.135728979087958
171.wav,0.16775836,0.01943837635446019,-11.368018,-2.007776590927293,9.360241559402297
172.wav,0.20061176,0.0321084772924216,-8.8481865,-0.890819876421072,7.95736661649885
173.wav,0.18324369,0.023724777294065098,-9.835539,-0.9572698969691702,8.878268967166573
174.wav,0.134309,0.014933713472257039,-11.106367,-1.566994218516029,9.539372892690025
175.wav,0.13789481,0.01779319916479963,-10.276373,-1.3834330728670112,8.892939836678888
176.wav,0.30514553,0.032401870790138246,-13.445044,-3.7056745404362914,9.739369023406482
177.wav,0.14692979,0.05701002344893441,-2.3506143,1.7609720981812047,4.111586407492117
178.wav,0.13235804,0.02470098348235924,-6.846189,0.4441724710017753,7.290361493065984
179.wav,0.13545363,0.04219554194687845,-3.3456943,1.7195464970405703,5.065240800553143
18.wav,0.22303453,0.036106153802025906,-9.102549,-1.1946402283556654,7.907908370887498
180.wav,0.0012857929,0.0013170303588478421,10.315401,10.211153799795046,-0.10424727747546214
181.wav,1.5257834e-05,0.00032508413045890546,30.661964,17.376934746876728,-13.285029669627178
182.wav,4.6619796e-05,0.0005200487895345788,28.508833,18.03409647771264,-10.474736453805914
183.wav,9.138403e-07,4.908363338830424e-05,41.121998,23.821335152772004,-17.30066268047995
184.wav,0.00019129428,0.00034044590128184585,19.07718,16.573718666545766,-2.503462195880992
185.wav,1.2923069e-06,0.00042591002583933967,41.229473,16.04994787814983,-25.179525235863842
186.wav,3.4558327e-06,0.00018884750916193694,34.493263,17.117676085872738,-17.37558715875617
187.wav,2.1035965e-05,0.0006349068827079582,28.673004,13.875529170540233,-14.797474979850392
188.wav,0.002389125,0.0014716301892048543,4.0323577,6.136759389824682,2.1044016971061765
189.wav,0.0031829288,0.0027461254407476674,5.8315516,6.472616722423225,0.6410651706043771
19.wav,0.092585035,0.013211731034843126,-7.907045,0.5487660886012764,8.455810976144
190.wav,0.00032142163,0.0003853719938694631,16.084684,15.296633851533022,-0.7880505204152204
191.wav,0.04326795,0.03927633618116785,-4.3082314,-3.88787757553322,0.4203537782265454
192.wav,0.00010622173,0.0005971506529988124,20.85234,13.353635047204168,-7.498705651038019
193.wav,0.003198632,0.0028083771019666542,5.8907537,6.455842467651723,0.5650887216190084
194.wav,0.005038301,0.004599517631139188,5.7619944,6.157712431564292,0.3957180696868505
195.wav,0.0039230934,0.003283584164460599,5.994877,6.7676816308310475,0.7728047692587818
196.wav,4.5162915e-06,0.00020033986947197153,36.575428,20.105575358156823,-16.46985265087638
198.wav,5.2850046e-06,0.00015730293536526978,33.678,18.94108807150709,-14.736913332301505
199.wav,0.0027140568,0.002945107237430318,8.326213,7.971390833640566,-0.3548220493550396
2.wav,0.04287507,0.044205294765143135,1.533317,1.4006224281636852,-0.1326945417078358
200.wav,0.006290632,0.0026279081167288015,4.6155324,8.406373375189442,3.7908409769655655
201.wav,0.052402906,0.048555437375664916,-3.967318,-3.636143015848993,0.3311750421649231
202.wav,9.4488763e-07,0.0002499347214436469,42.559685,18.335219083512317,-24.22446566990565
205.wav,0.026544197,0.0032496289116068513,-1.8237317,7.297626306036637,9.121357966879533
206.wav,0.0005602952,0.0007292499955181712,15.322039,14.177444150109892,-1.1445945004028033
207.wav,0.01439159,0.004008915875475081,-1.247436,4.303382468526412,5.550818515126754
208.wav,0.00010386645,0.0003558170082604784,21.924707,16.57719347029236,-5.347513942427366
21.wav,0.16981523,0.025343788347496135,-8.788738,-0.5276874097542728,8.261050840978148
211.wav,0.013205024,0.0025475474531791143,2.7349463,9.881115632100082,7.146169381184555
212.wav,0.012784101,0.001986731667865048,1.1086264,9.193936041368211,8.08530967570659
213.wav,0.032103557,0.0025362335365502714,-2.0872707,8.93636852125119,11.023639257945526
214.wav,0.030147186,0.004110321194202735,-2.5630035,6.090706285488786,8.653709825527848
215.wav,0.017497186,0.005153505855385234,2.5529685,7.861622786771088,5.30865428472641
216.wav,0.03136933,0.0041872401936806905,-0.8529526,7.8928207434556885,8.74577334298114
217.wav,0.012088789,0.0020277017580448663,2.5596097,10.313396740521894,7.753787088956342
218.wav,0.015927214,0.0023405422776121548,0.5415159,8.869749138631473,8.328233251847873
22.wav,0.09907474,0.021824203479232765,-4.1017003,2.468545132360468,6.570245438299189
220.wav,0.01684927,0.0025781842631737942,1.2742746,9.426945882845814,8.152671295214589
221.wav,0.00030077447,0.0004854944317575763,17.844526,15.76509242466566,-2.0794338662278946
223.wav,0.054264534,0.006039989841391529,-5.127172,4.407626660133579,9.534798653389196
224.wav,0.025405718,0.00250538426872654,-0.7368333,9.323738136488913,10.060571410853385
225.wav,5.522605e-05,0.0002513810824158276,24.092817,17.510930397924845,-6.5818869085937095
